# git checkout 4386851ea772a52d7e3078baf6a663cb8d01d57b 

# +green_dyadic.test.nb=1..20

# test_SHOprj_and_SHOadd<real4> orthogonality error, normalization error
20  1.11e-06 5.13e-06



# real8 nu=0
 1  0.00e+00 8.57e-01
 2  0.00e+00 3.97e-01
 3  0.00e+00 9.57e-02
 4  0.00e+00 1.33e-02
 5  0.00e+00 1.14e-03
 6  0.00e+00 6.01e-05
 7  0.00e+00 1.96e-06
 8  0.00e+00 3.91e-08
 9  0.00e+00 4.78e-10
10  0.00e+00 3.57e-12
11  0.00e+00 1.99e-14
12  0.00e+00 3.33e-16
13  0.00e+00 3.66e-15
14  0.00e+00 3.33e-16
15  0.00e+00 3.66e-15
16  0.00e+00 3.33e-16
17  0.00e+00 3.66e-15
18  0.00e+00 3.33e-16
19  0.00e+00 3.66e-15
20  0.00e+00 3.33e-16

# real8 nu=1
 1  3.47e-18 9.79e-01
 2  4.51e-17 6.95e-01
 3  7.24e-17 2.61e-01
 4  4.42e-17 5.32e-02
 5  4.31e-17 6.32e-03
 6  3.50e-17 4.46e-04
 7  4.63e-17 1.89e-05
 8  1.02e-16 4.77e-07
 9  6.35e-17 7.21e-09
10  6.81e-17 6.54e-11
11  3.74e-17 3.62e-13
12  6.73e-17 2.11e-15
13  4.70e-17 9.21e-15
14  7.55e-17 2.00e-15
15  4.72e-17 9.21e-15
16  7.55e-17 2.00e-15
17  4.72e-17 9.21e-15
18  7.55e-17 2.00e-15
19  4.72e-17 9.21e-15
20  7.55e-17 2.00e-15

# real8 nu=2
 1  1.22e-01 9.97e-01
 2  2.98e-01 8.46e-01
 3  1.65e-01 5.56e-01
 4  3.99e-02 1.96e-01
 5  5.18e-03 3.67e-02
 6  3.86e-04 3.80e-03
 7  1.69e-05 2.22e-04
 8  4.38e-07 7.40e-06
 9  6.74e-09 1.43e-07
10  6.18e-11 1.61e-09
11  3.41e-13 1.07e-11
12  1.14e-15 4.31e-14
13  1.01e-15 8.55e-15
14  3.05e-16 8.10e-15
15  1.01e-15 8.44e-15
16  3.05e-16 8.10e-15
17  1.01e-15 8.44e-15
18  3.05e-16 8.10e-15
19  1.01e-15 8.44e-15
20  3.05e-16 8.10e-15

# real8 nu=3
 1  2.91e-02 1.00e+00
 2  2.99e-01 9.22e-01
 3  3.78e-01 7.04e-01
 4  1.62e-01 4.37e-01
 5  3.30e-02 1.35e-01
 6  3.54e-03 2.09e-02
 7  2.11e-04 1.70e-03
 8  7.14e-06 7.56e-05
 9  1.39e-07 1.87e-06
10  1.57e-09 2.63e-08
11  1.05e-11 2.12e-10
12  4.11e-14 9.94e-13
13  8.17e-16 5.77e-15
14  7.22e-16 9.99e-15
15  8.16e-16 5.77e-15
16  7.22e-16 9.99e-15
17  8.16e-16 5.77e-15
18  7.22e-16 9.99e-15
19  8.16e-16 5.77e-15
20  7.22e-16 9.99e-15

# real8 nu=4
 1  1.04e-01 9.99e-01
 2  2.19e-01 9.60e-01
 3  6.00e-01 7.82e-01
 4  5.25e-01 6.03e-01
 5  1.80e-01 3.18e-01
 6  2.92e-02 7.70e-02
 7  2.43e-03 9.04e-03
 8  1.09e-04 5.44e-04
 9  2.73e-06 1.75e-05
10  3.86e-08 3.09e-07
11  3.12e-10 3.05e-09
12  1.46e-12 1.71e-11
13  4.18e-15 6.12e-14
14  1.35e-15 9.77e-15
15  1.31e-15 1.20e-14
16  1.35e-15 9.77e-15
17  1.31e-15 1.20e-14
18  1.35e-15 9.77e-15
19  1.31e-15 1.20e-14
20  1.35e-15 9.77e-15

# real8 nu=5
 1  6.65e-02 9.99e-01
 2  4.54e-01 9.80e-01
 3  5.11e-01 8.55e-01
 4  8.56e-01 6.19e-01
 5  5.46e-01 4.98e-01
 6  1.41e-01 1.98e-01
 7  1.71e-02 3.48e-02
 8  1.05e-03 2.91e-03
 9  3.40e-05 1.24e-04
10  6.04e-07 2.78e-06
11  5.99e-09 3.40e-08
12  3.37e-11 2.31e-10
13  1.15e-13 8.94e-13
14  2.44e-14 2.44e-14
15  2.44e-14 2.58e-14
16  2.44e-14 2.44e-14
17  2.44e-14 2.58e-14
18  2.44e-14 2.44e-14
19  2.44e-14 2.58e-14
20  2.44e-14 2.44e-14
