# Matrix elements of the unitary transform
#       from Cartesian to Radial circular harmonic oscillator states
#       up to ell = 23
#       Each matrix element is sign*sqrt(nominator^2/denominator^2)
# nx ny     emm nrn     sign*nominator^2 denominator^2

0 0   0 0   1 1
9 1  -8 1   -64 512
9 1 -10 0   10 512
10 0   0 5   -126 512
10 0   2 4   210 512
10 0   4 3   -120 512
10 0   6 2   45 512
10 0   8 1   -10 512
10 0  10 0   1 512

0 11  -1 5   -462 1024
0 11  -3 4   -330 1024
0 11  -5 3   -165 1024
0 11  -7 2   -55 1024
0 11  -9 1   -11 1024
0 11 -11 0   -1 1024
1 10   1 5   -42 1024
1 10   3 4   -270 1024
1 10   5 3   -375 1024
1 10   7 2   -245 1024
1 10   9 1   -81 1024
1 10  11 0   -11 1024
2 9  -1 5   -210 1024
2 9  -3 4   -6 1024
2 9  -5 3   147 1024
2 9  -7 2   361 1024
2 9  -9 1   245 1024
2 9 -11 0   55 1024
3 8   1 5   -70 1024
3 8   3 4   -242 1024
3 8   5 3   -25 1024
3 8   7 2   147 1024
3 8   9 1   375 1024
3 8  11 0   165 1024
4 7  -1 5   -140 1024
4 7  -3 4   36 1024
4 7  -5 3   242 1024
4 7  -7 2   6 1024
4 7  -9 1   -270 1024
4 7 -11 0   -330 1024
5 6   1 5   -100 1024
5 6   3 4   -140 1024
5 6   5 3   70 1024
5 6   7 2   210 1024
5 6   9 1   -42 1024
5 6  11 0   -462 1024
6 5  -1 5   -100 1024
6 5  -3 4   140 1024
6 5  -5 3   70 1024
6 5  -7 2   -210 1024
6 5  -9 1   -42 1024
6 5 -11 0   462 1024
7 4   1 5   -140 1024
7 4   3 4   -36 1024
7 4   5 3   242 1024
7 4   7 2   -6 1024
7 4   9 1   -270 1024
7 4  11 0   330 1024
8 3  -1 5   -70 1024
8 3  -3 4   242 1024
8 3  -5 3   -25 1024
8 3  -7 2   -147 1024
8 3  -9 1   375 1024
8 3 -11 0   -165 1024
9 2   1 5   -210 1024
9 2   3 4   6 1024
9 2   5 3   147 1024
9 2   7 2   -361 1024
9 2   9 1   245 1024
9 2  11 0   -55 1024
10 1  -1 5   -42 1024
10 1  -3 4   270 1024
10 1  -5 3   -375 1024
10 1  -7 2   245 1024
10 1  -9 1   -81 1024
10 1 -11 0   11 1024
11 0   1 5   -462 1024
11 0   3 4   330 1024
11 0   5 3   -165 1024
11 0   7 2   55 1024
11 0   9 1   -11 1024
11 0  11 0   1 1024

0 12   0 6   462 2048
0 12   2 5   792 2048
0 12   4 4   495 2048
0 12   6 3   220 2048
0 12   8 2   66 2048
0 12  10 1   12 2048
0 12  12 0   1 2048
1 11  -2 5   -264 2048
1 11  -4 4   -660 2048
1 11  -6 3   -660 2048
1 11  -8 2   -352 2048
1 11 -10 1   -100 2048
1 11 -12 0   -12 2048
2 10   0 6   252 2048
2 10   2 5   192 2048
2 10   4 4   -30 2048
2 10   6 3   -480 2048
2 10   8 2   -676 2048
2 10  10 1   -352 2048
2 10  12 0   -66 2048
3 9  -2 5   -360 2048
3 9  -4 4   -324 2048
3 9  -6 3   4 2048
3 9  -8 2   480 2048
3 9 -10 1   660 2048
3 9 -12 0   220 2048
4 8   0 6   210 2048
4 8   2 5   40 2048
4 8   4 4   -289 2048
4 8   6 3   -324 2048
4 8   8 2   30 2048
4 8  10 1   660 2048
4 8  12 0   495 2048
5 7  -2 5   -400 2048
5 7  -4 4   -40 2048
5 7  -6 3   360 2048
5 7  -8 2   192 2048
5 7 -10 1   -264 2048
5 7 -12 0   -792 2048
6 6   0 6   200 2048
6 6   4 4   -420 2048
6 6   8 2   504 2048
6 6  12 0   -924 2048
7 5  -2 5   -400 2048
7 5  -4 4   40 2048
7 5  -6 3   360 2048
7 5  -8 2   -192 2048
7 5 -10 1   -264 2048
7 5 -12 0   792 2048
8 4   0 6   210 2048
8 4   2 5   -40 2048
8 4   4 4   -289 2048
8 4   6 3   324 2048
8 4   8 2   30 2048
8 4  10 1   -660 2048
8 4  12 0   495 2048
9 3  -2 5   -360 2048
9 3  -4 4   324 2048
9 3  -6 3   4 2048
9 3  -8 2   -480 2048
9 3 -10 1   660 2048
9 3 -12 0   -220 2048
10 2   0 6   252 2048
10 2   2 5   -192 2048
10 2   4 4   -30 2048
10 2   6 3   480 2048
10 2   8 2   -676 2048
10 2  10 1   352 2048
10 2  12 0   -66 2048
11 1  -2 5   -264 2048
11 1  -4 4   660 2048
11 1  -6 3   -660 2048
11 1  -8 2   352 2048
11 1 -10 1   -100 2048
11 1 -12 0   12 2048
12 0   0 6   462 2048
12 0   2 5   -792 2048
12 0   4 4   495 2048
12 0   6 3   -220 2048
12 0   8 2   66 2048
12 0  10 1   -12 2048
12 0  12 0   1 2048

0 13  -1 6   1716 4096
0 13  -3 5   1287 4096
0 13  -5 4   715 4096
0 13  -7 3   286 4096
0 13  -9 2   78 4096
0 13 -11 1   13 4096
0 13 -13 0   1 4096
1 12   1 6   132 4096
1 12   3 5   891 4096
1 12   5 4   1375 4096
1 12   7 3   1078 4096
1 12   9 2   486 4096
1 12  11 1   121 4096
1 12  13 0   13 4096
2 11  -1 6   792 4096
2 11  -3 5   66 4096
2 11  -5 4   -330 4096
2 11  -7 3   -1188 4096
2 11  -9 2   -1156 4096
2 11 -11 1   -486 4096
2 11 -13 0   -78 4096
3 10   1 6   216 4096
3 10   3 5   882 4096
3 10   5 4   250 4096
3 10   7 3   -196 4096
3 10   9 2   -1188 4096
3 10  11 1   -1078 4096
3 10  13 0   -286 4096
4 9  -1 6   540 4096
4 9  -3 5   -45 4096
4 9  -5 4   -841 4096
4 9  -7 3   -250 4096
4 9  -9 2   330 4096
4 9 -11 1   1375 4096
4 9 -13 0   715 4096
5 8   1 6   300 4096
5 8   3 5   625 4096
5 8   5 4   -45 4096
5 8   7 3   -882 4096
5 8   9 2   -66 4096
5 8  11 1   891 4096
5 8  13 0   1287 4096
6 7  -1 6   400 4096
6 7  -3 5   -300 4096
6 7  -5 4   -540 4096
6 7  -7 3   216 4096
6 7  -9 2   792 4096
6 7 -11 1   -132 4096
6 7 -13 0   -1716 4096
7 6   1 6   400 4096
7 6   3 5   300 4096
7 6   5 4   -540 4096
7 6   7 3   -216 4096
7 6   9 2   792 4096
7 6  11 1   132 4096
7 6  13 0   -1716 4096
8 5  -1 6   300 4096
8 5  -3 5   -625 4096
8 5  -5 4   -45 4096
8 5  -7 3   882 4096
8 5  -9 2   -66 4096
8 5 -11 1   -891 4096
8 5 -13 0   1287 4096
9 4   1 6   540 4096
9 4   3 5   45 4096
9 4   5 4   -841 4096
9 4   7 3   250 4096
9 4   9 2   330 4096
9 4  11 1   -1375 4096
9 4  13 0   715 4096
10 3  -1 6   216 4096
10 3  -3 5   -882 4096
10 3  -5 4   250 4096
10 3  -7 3   196 4096
10 3  -9 2   -1188 4096
10 3 -11 1   1078 4096
10 3 -13 0   -286 4096
11 2   1 6   792 4096
11 2   3 5   -66 4096
11 2   5 4   -330 4096
11 2   7 3   1188 4096
11 2   9 2   -1156 4096
11 2  11 1   486 4096
11 2  13 0   -78 4096
12 1  -1 6   132 4096
12 1  -3 5   -891 4096
12 1  -5 4   1375 4096
12 1  -7 3   -1078 4096
12 1  -9 2   486 4096
12 1 -11 1   -121 4096
12 1 -13 0   13 4096
13 0   1 6   1716 4096
13 0   3 5   -1287 4096
13 0   5 4   715 4096
13 0   7 3   -286 4096
13 0   9 2   78 4096
13 0  11 1   -13 4096
13 0  13 0   1 4096

0 14   0 7   -1716 8192
0 14   2 6   -3003 8192
0 14   4 5   -2002 8192
0 14   6 4   -1001 8192
0 14   8 3   -364 8192
0 14  10 2   -91 8192
0 14  12 1   -14 8192
0 14  14 0   -1 8192
1 13  -2 6   858 8192
1 13  -4 5   2288 8192
1 13  -6 4   2574 8192
1 13  -8 3   1664 8192
1 13 -10 2   650 8192
1 13 -12 1   144 8192
1 13 -14 0   14 8192
2 12   0 7   -924 8192
2 12   2 6   -825 8192
2 12   4 5   22 8192
2 12   6 4   1331 8192
2 12   8 3   2500 8192
2 12  10 2   1849 8192
2 12  12 1   650 8192
2 12  14 0   91 8192
3 11  -2 6   1188 8192
3 11  -4 5   1408 8192
3 11  -6 4   44 8192
3 11  -8 3   -1024 8192
3 11 -10 2   -2500 8192
3 11 -12 1   -1664 8192
3 11 -14 0   -364 8192
4 10   0 7   -756 8192
4 10   2 6   -243 8192
4 10   4 5   722 8192
4 10   6 4   1521 8192
4 10   8 3   44 8192
4 10  10 2   -1331 8192
4 10  12 1   -2574 8192
4 10  14 0   -1001 8192
5 9  -2 6   1350 8192
5 9  -4 5   400 8192
5 9  -6 4   -722 8192
5 9  -8 3   -1408 8192
5 9 -10 2   22 8192
5 9 -12 1   2288 8192
5 9 -14 0   2002 8192
6 8   0 7   -700 8192
6 8   2 6   -25 8192
6 8   4 5   1350 8192
6 8   6 4   243 8192
6 8   8 3   -1188 8192
6 8  10 2   -825 8192
6 8  12 1   858 8192
6 8  14 0   3003 8192
7 7  -2 6   1400 8192
7 7  -6 4   -1512 8192
7 7 -10 2   1848 8192
7 7 -14 0   -3432 8192
8 6   0 7   -700 8192
8 6   2 6   25 8192
8 6   4 5   1350 8192
8 6   6 4   -243 8192
8 6   8 3   -1188 8192
8 6  10 2   825 8192
8 6  12 1   858 8192
8 6  14 0   -3003 8192
9 5  -2 6   1350 8192
9 5  -4 5   -400 8192
9 5  -6 4   -722 8192
9 5  -8 3   1408 8192
9 5 -10 2   22 8192
9 5 -12 1   -2288 8192
9 5 -14 0   2002 8192
10 4   0 7   -756 8192
10 4   2 6   243 8192
10 4   4 5   722 8192
10 4   6 4   -1521 8192
10 4   8 3   44 8192
10 4  10 2   1331 8192
10 4  12 1   -2574 8192
10 4  14 0   1001 8192
11 3  -2 6   1188 8192
11 3  -4 5   -1408 8192
11 3  -6 4   44 8192
11 3  -8 3   1024 8192
11 3 -10 2   -2500 8192
11 3 -12 1   1664 8192
11 3 -14 0   -364 8192
12 2   0 7   -924 8192
12 2   2 6   825 8192
12 2   4 5   22 8192
12 2   6 4   -1331 8192
12 2   8 3   2500 8192
12 2  10 2   -1849 8192
12 2  12 1   650 8192
12 2  14 0   -91 8192
13 1  -2 6   858 8192
13 1  -4 5   -2288 8192
13 1  -6 4   2574 8192
13 1  -8 3   -1664 8192
13 1 -10 2   650 8192
13 1 -12 1   -144 8192
13 1 -14 0   14 8192
14 0   0 7   -1716 8192
14 0   2 6   3003 8192
14 0   4 5   -2002 8192
14 0   6 4   1001 8192
14 0   8 3   -364 8192
14 0  10 2   91 8192
14 0  12 1   -14 8192
14 0  14 0   1 8192

0 15  -1 7   -6435 16384
0 15  -3 6   -5005 16384
0 15  -5 5   -3003 16384
0 15  -7 4   -1365 16384
0 15  -9 3   -455 16384
0 15 -11 2   -105 16384
0 15 -13 1   -15 16384
0 15 -15 0   -1 16384
1 14   1 7   -429 16384
1 14   3 6   -3003 16384
1 14   5 5   -5005 16384
1 14   7 4   -4459 16384
1 14   9 3   -2457 16384
1 14  11 2   -847 16384
1 14  13 1   -169 16384
1 14  15 0   -15 16384
2 13  -1 7   -3003 16384
2 13  -3 6   -429 16384
2 13  -5 5   715 16384
2 13  -7 4   3757 16384
2 13  -9 3   4719 16384
2 13 -11 2   2809 16384
2 13 -13 1   847 16384
2 13 -15 0   105 16384
3 12   1 7   -693 16384
3 12   3 6   -3179 16384
3 12   5 5   -1485 16384
3 12   7 4   147 16384
3 12   9 3   3249 16384
3 12  11 2   4719 16384
3 12  13 1   2457 16384
3 12  15 0   455 16384
4 11  -1 7   -2079 16384
4 11  -3 6   33 16384
4 11  -5 5   2695 16384
4 11  -7 4   1849 16384
4 11  -9 3   -147 16384
4 11 -11 2   -3757 16384
4 11 -13 1   -4459 16384
4 11 -15 0   -1365 16384
5 10   1 7   -945 16384
5 10   3 6   -2535 16384
5 10   5 5   -1 16384
5 10   7 4   2695 16384
5 10   9 3   1485 16384
5 10  11 2   -715 16384
5 10  13 1   -5005 16384
5 10  15 0   -3003 16384
6 9  -1 7   -1575 16384
6 9  -3 6   625 16384
6 9  -5 5   2535 16384
6 9  -7 4   -33 16384
6 9  -9 3   -3179 16384
6 9 -11 2   -429 16384
6 9 -13 1   3003 16384
6 9 -15 0   5005 16384
7 8   1 7   -1225 16384
7 8   3 6   -1575 16384
7 8   5 5   945 16384
7 8   7 4   2079 16384
7 8   9 3   -693 16384
7 8  11 2   -3003 16384
7 8  13 1   429 16384
7 8  15 0   6435 16384
8 7  -1 7   -1225 16384
8 7  -3 6   1575 16384
8 7  -5 5   945 16384
